,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.33,50.0,72,8,6.62,AU,1591121565
1,tuktoyaktuk,69.45,-133.04,37.4,74,20,11.41,CA,1591121583
2,port alfred,-33.59,26.89,61.0,86,90,4.97,ZA,1591121582
3,penzance,50.12,-5.54,68.0,56,4,9.17,GB,1591121836
4,qaanaaq,77.48,-69.36,29.26,92,94,1.63,GL,1591121988
5,bolu,40.67,31.58,49.42,85,97,1.86,TR,1591121880
6,kaitangata,-46.28,169.85,51.01,70,55,3.0,NZ,1591121988
7,chihuahua,28.5,-106.0,86.0,28,20,5.82,MX,1591121989
8,hobart,-42.88,147.33,48.2,61,75,14.99,AU,1591121954
9,upernavik,72.79,-56.15,30.9,96,100,6.76,GL,1591121989
10,khatanga,71.97,102.5,49.33,58,78,10.78,RU,1591121561
11,avera,33.19,-82.53,82.4,51,1,4.7,US,1591121990
12,bengkulu,-3.8,102.27,77.36,89,84,5.17,ID,1591121990
13,avarua,-21.21,-159.78,75.2,73,38,8.05,CK,1591121990
14,rikitea,-23.12,-134.97,75.9,77,100,5.91,PF,1591121559
15,pagudpud,18.56,120.79,78.8,88,20,4.7,PH,1591121991
16,ovalle,-30.6,-71.2,74.05,34,25,7.72,CL,1591121991
17,longyearbyen,78.22,15.64,39.2,80,75,10.29,SJ,1591121592
18,kemijarvi,66.71,27.43,64.69,57,1,7.9,FI,1591121992
19,albany,42.6,-73.97,68.0,47,97,3.42,US,1591121933
20,luganville,-15.53,167.17,78.93,81,25,10.45,VU,1591121992
21,port shepstone,-30.74,30.45,68.5,55,1,6.06,ZA,1591121993
22,vitim,59.45,112.56,50.36,53,34,2.39,RU,1591121993
23,isangel,-19.55,169.27,75.34,80,19,8.32,VU,1591121993
24,bethel,41.37,-73.41,64.99,55,90,4.21,US,1591121843
25,ugoofaaru,5.67,73.0,83.25,79,74,14.27,MV,1591121994
26,port blair,11.67,92.75,83.93,79,100,7.02,IN,1591121593
27,jamestown,42.1,-79.24,68.0,63,75,12.75,US,1591121552
28,port moresby,-9.44,147.18,77.0,94,75,11.41,PG,1591121995
29,port elizabeth,-33.92,25.57,60.8,72,97,8.05,ZA,1591121570
30,bredasdorp,-34.53,20.04,53.6,93,100,1.12,ZA,1591121583
31,vila franca do campo,37.72,-25.43,60.8,82,40,19.46,PT,1591121996
32,hermanus,-34.42,19.23,57.0,92,100,13.22,ZA,1591121579
33,shelburne,44.08,-80.2,73.99,56,75,8.05,CA,1591121704
34,kodiak,57.79,-152.41,48.2,93,90,8.05,US,1591121593
35,punta arenas,-53.15,-70.92,42.8,67,20,23.04,CL,1591121843
36,chimoio,-19.12,33.48,64.4,82,75,3.76,MZ,1591121997
37,carnarvon,-24.87,113.63,70.81,52,0,5.19,AU,1591121997
38,bluff,-46.6,168.33,51.4,78,95,11.32,NZ,1591121595
39,tasiilaq,65.61,-37.64,41.0,75,75,13.87,GL,1591121998
40,ilulissat,69.22,-51.1,41.0,80,75,13.87,GL,1591121998
41,maniitsoq,65.42,-52.9,38.19,91,100,7.16,GL,1591121998
42,krini,39.39,22.35,68.0,56,20,4.7,GR,1591121999
43,cherskiy,68.75,161.3,48.49,63,93,1.81,RU,1591121999
44,beringovskiy,63.05,179.32,44.01,64,1,5.19,RU,1591121999
45,caravelas,-17.71,-39.25,79.79,71,43,6.58,BR,1591122000
46,tiksi,71.69,128.87,33.78,89,8,5.95,RU,1591121589
47,benguela,-12.58,13.41,74.1,84,17,3.06,AO,1591122001
48,teluknaga,-6.1,106.64,77.0,88,40,3.36,ID,1591122001
49,morehead,37.27,-87.18,86.0,37,1,5.82,US,1591122001
